x,y
170.000000,140.000000
169.750208,145.990005
169.003329,151.920160
167.766824,157.731212
166.053050,163.365101
163.879128,168.765532
161.266781,173.878548
158.242109,178.653061
154.835335,183.041365
151.080498,186.999615
147.015115,190.488259
142.679806,193.472442
138.117888,195.922345
133.374941,197.813491
128.498357,199.126984
123.536860,199.849699
118.540024,199.974416
113.557775,199.499889
108.639895,198.430858
103.835522,196.778005
99.192658,194.557846
94.757695,191.792562
90.574944,188.509784
86.686199,184.742313
83.130314,180.527791
79.942819,175.908329
77.155562,170.930082
74.796393,165.642793
72.888883,160.099289
71.452092,154.354960
70.500375,148.467200
70.043242,142.494840
70.085261,136.497551
70.626012,130.535258
71.660090,124.667534
73.177166,118.953006
75.162079,113.448773
77.594998,108.209832
80.451614,103.288527
83.703385,98.734030
87.317819,94.591850
91.258803,90.903373
95.486959,87.705454
99.960041,85.030044
104.633357,82.903876
109.460210,81.348193
114.392374,80.378540
119.380567,80.004605
124.374949,80.230123
129.325618,81.052843
134.183109,82.464544
138.898887,84.451119
143.425834,86.992721
147.718717,90.063953
151.734644,93.634131
155.433489,97.667580
158.778294,102.124002
161.735639,106.958867
164.275976,112.123869
166.373922,117.567400
168.008514,123.235070
169.163422,129.070250
169.827105,135.014636
170.000000,140.000000
